conv0/Conv2D 1,3,331,331@0x6febc3b810; 1,96,165,165@0x6febc3b860; none 1;4;13;26;49;
cell_1/Relu 1,336,42,42@0x6febc3d390; 1,336,42,42@0x6febc3d3e0; 106; 108;
cell_1/Relu___tr4cell_1/prev_1x1/Conv2D 1,336,42,42@0x6febc3d3e0; 1,336,42,42@0x6fd13fe600; 107; 109;
cell_1/prev_1x1/Conv2D 1,336,42,42@0x6fd13fe600; 1,168,42,42@0x6febc3d430; 108; 175;181;186;194;196;197;209;
cell_0/Relu 1,168,83,83@0x6febc3c3f0; 1,168,83,83@0x6febc3d480; 44; 111;115;
cell_0/Relu___tr4cell_0/AvgPool2D 1,168,83,83@0x6febc3d480; 1,168,83,83@0x6fd13fe650; 110; 112;
cell_0/AvgPool2D 1,168,83,83@0x6fd13fe650; 1,168,42,42@0x6febc3d4d0; 111; 113;
cell_0/path1_conv/Conv2D 1,168,42,42@0x6febc3d4d0; 1,84,42,42@0x6febc3d520; 112; 123;
cell_0/Pad/paddings none 4,0,2,0@0x6febc3d570; none 115;
cell_0/Pad 1,168,83,83@0x6febc3d480;4,0,2,0@0x6febc3d570; 1,168,84,84@0x6febc3d5c0; 110;114; 119;
cell_0/strided_slice/stack none 4,0,0,0@0x6febc3d610; none 119;
cell_0/strided_slice/stack_1 none 4,0,0,0@0x6febc3d660; none 119;
cell_0/strided_slice/stack_2 none 4,0,0,0@0x6febc3d6b0; none 119;
cell_0/strided_slice 1,168,84,84@0x6febc3d5c0;4,0,0,0@0x6febc3d610;4,0,0,0@0x6febc3d660;4,0,0,0@0x6febc3d6b0; 1,168,83,83@0x6febc3d700; 115;116;117;118; 120;
cell_0/strided_slice___tr4cell_0/AvgPool2D_1 1,168,83,83@0x6febc3d700; 1,168,83,83@0x6fd13fe6a0; 119; 121;
cell_0/AvgPool2D_1 1,168,83,83@0x6fd13fe6a0; 1,168,42,42@0x6febc3d750; 120; 122;
cell_0/path2_conv/Conv2D 1,168,42,42@0x6febc3d750; 1,84,42,42@0x6febc3d7a0; 121; 123;
cell_0/concat 1,84,42,42@0x6febc3d520;1,84,42,42@0x6febc3d7a0; 1,168,42,42@0x6febc3d7f0; 113;122; 124;
cell_0/final_path_bn/FusedBatchNormV3 1,168,42,42@0x6febc3d7f0; 1,168,42,42@0x6febc3d840; 123; 133;139;144;152;154;155;167;
cell_0/Relu_1 1,336,42,42@0x6febc3d390; 1,336,42,42@0x6febc3d890; 106; 126;
cell_0/Relu_1___tr4cell_0/1x1/Conv2D 1,336,42,42@0x6febc3d890; 1,336,42,42@0x6fd13fe6f0; 125; 127;
cell_0/1x1/Conv2D 1,336,42,42@0x6fd13fe6f0; 1,168,42,42@0x6febc3d8e0; 126; 128;150;159;164;
cell_0/comb_iter_0/left/Relu 1,168,42,42@0x6febc3d8e0; 1,168,42,42@0x6febc3d930; 127; 129;
cell_0/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,168,42,42@0x6febc3d930; 1,168,42,42@0x6febc3d980; 128; 130;
cell_0/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,168,42,42@0x6febc3d980; 1,168,42,42@0x6febc3d9d0; 129; 131;
cell_0/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,168,42,42@0x6febc3d9d0; 1,168,42,42@0x6febc3da20; 130; 132;
