conv0/Conv2D 1,3,224,224@0x7d7ac3b810; 1,32,111,111@0x7d7ac3b860; none 1;4;13;26;49;
cell_1/prev_1x1/Conv2D 1,88,28,28@0x7d7ac1bec0; 1,44,28,28@0x7d7ac3d430; 108; 175;181;186;194;196;197;209;
cell_0/Relu 1,44,56,56@0x7d7ac3c3f0; 1,44,56,56@0x7d7ac3d480; 44; 111;115;
cell_0/Relu___tr4cell_0/AvgPool2D 1,44,56,56@0x7d7ac3d480; 1,44,56,56@0x7d7ac1bf10; 110; 112;
cell_0/AvgPool2D 1,44,56,56@0x7d7ac1bf10; 1,44,28,28@0x7d7ac3d4d0; 111; 113;
cell_0/path1_conv/Conv2D 1,44,28,28@0x7d7ac3d4d0; 1,22,28,28@0x7d7ac3d520; 112; 123;
cell_0/Pad/paddings none 4,0,2,0@0x7d7ac3d570; none 115;
cell_0/Pad 1,44,56,56@0x7d7ac3d480;4,0,2,0@0x7d7ac3d570; 1,44,57,57@0x7d7ac3d5c0; 110;114; 119;
cell_0/strided_slice/stack none 4,0,0,0@0x7d7ac3d610; none 119;
cell_0/strided_slice/stack_1 none 4,0,0,0@0x7d7ac3d660; none 119;
cell_0/strided_slice/stack_2 none 4,0,0,0@0x7d7ac3d6b0; none 119;
cell_0/strided_slice 1,44,57,57@0x7d7ac3d5c0;4,0,0,0@0x7d7ac3d610;4,0,0,0@0x7d7ac3d660;4,0,0,0@0x7d7ac3d6b0; 1,44,56,56@0x7d7ac3d700; 115;116;117;118; 120;
cell_0/strided_slice___tr4cell_0/AvgPool2D_1 1,44,56,56@0x7d7ac3d700; 1,44,56,56@0x7d7ac1bf60; 119; 121;
cell_0/AvgPool2D_1 1,44,56,56@0x7d7ac1bf60; 1,44,28,28@0x7d7ac3d750; 120; 122;
cell_0/path2_conv/Conv2D 1,44,28,28@0x7d7ac3d750; 1,22,28,28@0x7d7ac3d7a0; 121; 123;
cell_0/concat 1,22,28,28@0x7d7ac3d520;1,22,28,28@0x7d7ac3d7a0; 1,44,28,28@0x7d7ac3d7f0; 113;122; 124;
cell_0/final_path_bn/FusedBatchNormV3 1,44,28,28@0x7d7ac3d7f0; 1,44,28,28@0x7d7ac3d840; 123; 133;139;144;152;154;155;167;
cell_0/Relu_1 1,88,28,28@0x7d7ac3d390; 1,88,28,28@0x7d7ac3d890; 106; 126;
cell_0/Relu_1___tr4cell_0/1x1/Conv2D 1,88,28,28@0x7d7ac3d890; 1,88,28,28@0x7d7ac1bfb0; 125; 127;
cell_0/1x1/Conv2D 1,88,28,28@0x7d7ac1bfb0; 1,44,28,28@0x7d7ac3d8e0; 126; 128;150;159;164;
cell_0/comb_iter_0/left/Relu 1,44,28,28@0x7d7ac3d8e0; 1,44,28,28@0x7d7ac3d930; 127; 129;
cell_0/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3d930; 1,44,28,28@0x7d7ac3d980; 128; 130;
cell_0/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,44,28,28@0x7d7ac3d980; 1,44,28,28@0x7d7ac3d9d0; 129; 131;
cell_0/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3d9d0; 1,44,28,28@0x7d7ac3da20; 130; 132;
cell_0/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,44,28,28@0x7d7ac3da20; 1,44,28,28@0x7d7ac3da70; 131; 138;
cell_0/comb_iter_0/right/Relu 1,44,28,28@0x7d7ac3d840; 1,44,28,28@0x7d7ac3dac0; 124; 134;
cell_0/comb_iter_0/right/separable_3x3_1/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3dac0; 1,44,28,28@0x7d7ac3db10; 133; 135;
cell_0/comb_iter_0/right/separable_3x3_1/separable_conv2d 1,44,28,28@0x7d7ac3db10; 1,44,28,28@0x7d7ac3db60; 134; 136;
cell_0/comb_iter_0/right/separable_3x3_2/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3db60; 1,44,28,28@0x7d7ac3dbb0; 135; 137;
cell_0/comb_iter_0/right/separable_3x3_2/separable_conv2d 1,44,28,28@0x7d7ac3dbb0; 1,44,28,28@0x7d7ac3dc00; 136; 138;
cell_0/comb_iter_0/combine/add 1,44,28,28@0x7d7ac3da70;1,44,28,28@0x7d7ac3dc00; 1,44,28,28@0x7d7ac3dc50; 132;137; 167;
cell_0/comb_iter_1/left/Relu 1,44,28,28@0x7d7ac3d840; 1,44,28,28@0x7d7ac3dca0; 124; 140;
cell_0/comb_iter_1/left/separable_5x5_1/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3dca0; 1,44,28,28@0x7d7ac3dcf0; 139; 141;
