conv0/Conv2D 1,3,224,224@0x7d7ac3b810; 1,32,111,111@0x7d7ac3b860; none 1;4;13;26;49;
cell_10/1x1/Conv2D 1,1056,7,7@0x7d7ac19e90; 1,176,7,7@0x7d7ac19ee0; 692; 694;716;725;730;
cell_10/comb_iter_0/left/Relu 1,176,7,7@0x7d7ac19ee0; 1,176,7,7@0x7d7ac19f30; 693; 695;
cell_10/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac19f30; 1,176,7,7@0x7d7ac19f80; 694; 696;
cell_10/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,176,7,7@0x7d7ac19f80; 1,176,7,7@0x7d7ac19fd0; 695; 697;
cell_10/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac19fd0; 1,176,7,7@0x7d7ac1a020; 696; 698;
cell_10/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,176,7,7@0x7d7ac1a020; 1,176,7,7@0x7d7ac1a070; 697; 704;
cell_10/comb_iter_0/right/Relu 1,176,7,7@0x7d7ac19e40; 1,176,7,7@0x7d7ac1a0c0; 691; 700;
cell_10/comb_iter_0/right/separable_3x3_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1a0c0; 1,176,7,7@0x7d7ac1a110; 699; 701;
cell_10/comb_iter_0/right/separable_3x3_1/separable_conv2d 1,176,7,7@0x7d7ac1a110; 1,176,7,7@0x7d7ac1a160; 700; 702;
cell_10/comb_iter_0/right/separable_3x3_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1a160; 1,176,7,7@0x7d7ac1a1b0; 701; 703;
cell_10/comb_iter_0/right/separable_3x3_2/separable_conv2d 1,176,7,7@0x7d7ac1a1b0; 1,176,7,7@0x7d7ac1a200; 702; 704;
cell_10/comb_iter_0/combine/add 1,176,7,7@0x7d7ac1a070;1,176,7,7@0x7d7ac1a200; 1,176,7,7@0x7d7ac1a250; 698;703; 733;
cell_10/comb_iter_1/left/Relu 1,176,7,7@0x7d7ac19e40; 1,176,7,7@0x7d7ac1a2a0; 691; 706;
cell_10/comb_iter_1/left/separable_5x5_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1a2a0; 1,176,7,7@0x7d7ac1a2f0; 705; 707;
cell_10/comb_iter_1/left/separable_5x5_1/separable_conv2d 1,176,7,7@0x7d7ac1a2f0; 1,176,7,7@0x7d7ac1a340; 706; 708;
cell_10/comb_iter_1/left/separable_5x5_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1a340; 1,176,7,7@0x7d7ac1a390; 707; 709;
cell_10/comb_iter_1/left/separable_5x5_2/separable_conv2d 1,176,7,7@0x7d7ac1a390; 1,176,7,7@0x7d7ac1a3e0; 708; 715;
cell_10/comb_iter_1/right/Relu 1,176,7,7@0x7d7ac19e40; 1,176,7,7@0x7d7ac1a430; 691; 711;
cell_10/comb_iter_1/right/separable_3x3_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1a430; 1,176,7,7@0x7d7ac1a480; 710; 712;
cell_10/comb_iter_1/right/separable_3x3_1/separable_conv2d 1,176,7,7@0x7d7ac1a480; 1,176,7,7@0x7d7ac1a4d0; 711; 713;
cell_10/comb_iter_1/right/separable_3x3_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1a4d0; 1,176,7,7@0x7d7ac1a520; 712; 714;
cell_10/comb_iter_1/right/separable_3x3_2/separable_conv2d 1,176,7,7@0x7d7ac1a520; 1,176,7,7@0x7d7ac1a570; 713; 715;
cell_10/comb_iter_1/combine/add 1,176,7,7@0x7d7ac1a3e0;1,176,7,7@0x7d7ac1a570; 1,176,7,7@0x7d7ac1a5c0; 709;714; 733;
cell_10/comb_iter_2/left/AvgPool2D/AvgPool 1,176,7,7@0x7d7ac19ee0; 1,176,7,7@0x7d7ac1a610; 693; 717;
cell_10/comb_iter_2/left/AvgPool2D/AvgPool___tr4cell_10/comb_iter_2/combine/add 1,176,7,7@0x7d7ac1a610; 1,176,7,7@0x7d7adfb9a0; 716; 719;
cell_10/prev_bn/FusedBatchNormV3___tr4cell_10/comb_iter_2/combine/add 1,176,7,7@0x7d7ac19e40; 1,176,7,7@0x7d7adfb9f0; 691; 719;
cell_10/comb_iter_2/combine/add 1,176,7,7@0x7d7adfb9a0;1,176,7,7@0x7d7adfb9f0; 1,176,7,7@0x7d7ac1a660; 717;718; 731;
cell_10/comb_iter_3/left/AvgPool2D/AvgPool 1,176,7,7@0x7d7ac19e40; 1,176,7,7@0x7d7ac1a6b0; 691; 722;
cell_10/comb_iter_3/right/AvgPool2D/AvgPool 1,176,7,7@0x7d7ac19e40; 1,176,7,7@0x7d7ac1a700; 691; 723;
cell_10/comb_iter_3/left/AvgPool2D/AvgPool___tr4cell_10/comb_iter_3/combine/add 1,176,7,7@0x7d7ac1a6b0; 1,176,7,7@0x7d7adfba40; 720; 724;
cell_10/comb_iter_3/right/AvgPool2D/AvgPool___tr4cell_10/comb_iter_3/combine/add 1,176,7,7@0x7d7ac1a700; 1,176,7,7@0x7d7adfba90; 721; 724;
cell_10/comb_iter_3/combine/add 1,176,7,7@0x7d7adfba40;1,176,7,7@0x7d7adfba90; 1,176,7,7@0x7d7ac1a750; 722;723; 732;
cell_10/comb_iter_4/left/Relu 1,176,7,7@0x7d7ac19ee0; 1,176,7,7@0x7d7ac1a7a0; 693; 726;
cell_10/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1a7a0; 1,176,7,7@0x7d7ac1a7f0; 725; 727;
cell_10/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,176,7,7@0x7d7ac1a7f0; 1,176,7,7@0x7d7ac1a840; 726; 728;
cell_10/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1a840; 1,176,7,7@0x7d7ac1a890; 727; 729;
cell_10/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,176,7,7@0x7d7ac1a890; 1,176,7,7@0x7d7ac1a8e0; 728; 730;
cell_10/comb_iter_4/combine/add 1,176,7,7@0x7d7ac1a8e0;1,176,7,7@0x7d7ac19ee0; 1,176,7,7@0x7d7ac1a930; 693;729; 733;
cell_10/comb_iter_2/combine/add___tr4cell_10/cell_output/concat 1,176,7,7@0x7d7ac1a660; 1,176,7,7@0x7d7adfbae0; 719; 733;
cell_10/comb_iter_3/combine/add___tr4cell_10/cell_output/concat 1,176,7,7@0x7d7ac1a750; 1,176,7,7@0x7d7adfbb30; 724; 733;
cell_10/cell_output/concat 1,176,7,7@0x7d7ac19e40;1,176,7,7@0x7d7ac1a250;1,176,7,7@0x7d7ac1a5c0;1,176,7,7@0x7d7adfbae0;1,176,7,7@0x7d7adfbb30;1,176,7,7@0x7d7ac1a930; 1,1056,7,7@0x7d7ac1a980; 691;704;715;730;731;732; 734;
cell_11/Relu_1 1,1056,7,7@0x7d7ac1a980; 1,1056,7,7@0x7d7ac1a9d0; 733; 735;
cell_11/1x1/Conv2D 1,1056,7,7@0x7d7ac1a9d0; 1,176,7,7@0x7d7ac1aa20; 734; 736;758;767;772;
cell_11/comb_iter_0/left/Relu 1,176,7,7@0x7d7ac1aa20; 1,176,7,7@0x7d7ac1aa70; 735; 737;
cell_11/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1aa70; 1,176,7,7@0x7d7ac1aac0; 736; 738;
cell_11/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,176,7,7@0x7d7ac1aac0; 1,176,7,7@0x7d7ac1ab10; 737; 739;
cell_11/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1ab10; 1,176,7,7@0x7d7ac1ab60; 738; 740;
cell_11/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,176,7,7@0x7d7ac1ab60; 1,176,7,7@0x7d7ac1abb0; 739; 746;
cell_11/comb_iter_0/right/Relu 1,176,7,7@0x7d7ac19da0; 1,176,7,7@0x7d7ac1ac00; 689; 742;
cell_11/comb_iter_0/right/separable_3x3_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1ac00; 1,176,7,7@0x7d7ac1ac50; 741; 743;
cell_11/comb_iter_0/right/separable_3x3_1/separable_conv2d 1,176,7,7@0x7d7ac1ac50; 1,176,7,7@0x7d7ac1aca0; 742; 744;
cell_11/comb_iter_0/right/separable_3x3_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1aca0; 1,176,7,7@0x7d7ac1acf0; 743; 745;
cell_11/comb_iter_0/right/separable_3x3_2/separable_conv2d 1,176,7,7@0x7d7ac1acf0; 1,176,7,7@0x7d7ac1ad40; 744; 746;
cell_11/comb_iter_0/combine/add 1,176,7,7@0x7d7ac1abb0;1,176,7,7@0x7d7ac1ad40; 1,176,7,7@0x7d7ac1ad90; 740;745; 775;
cell_11/comb_iter_1/left/Relu 1,176,7,7@0x7d7ac19da0; 1,176,7,7@0x7d7ac1ade0; 689; 748;
cell_11/comb_iter_1/left/separable_5x5_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1ade0; 1,176,7,7@0x7d7ac1ae30; 747; 749;
cell_11/comb_iter_1/left/separable_5x5_1/separable_conv2d 1,176,7,7@0x7d7ac1ae30; 1,176,7,7@0x7d7ac1ae80; 748; 750;
cell_11/comb_iter_1/left/separable_5x5_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1ae80; 1,176,7,7@0x7d7ac1aed0; 749; 751;
cell_11/comb_iter_1/left/separable_5x5_2/separable_conv2d 1,176,7,7@0x7d7ac1aed0; 1,176,7,7@0x7d7ac1af20; 750; 757;
cell_11/comb_iter_1/right/Relu 1,176,7,7@0x7d7ac19da0; 1,176,7,7@0x7d7ac1af70; 689; 753;
cell_11/comb_iter_1/right/separable_3x3_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1af70; 1,176,7,7@0x7d7ac1afc0; 752; 754;
cell_11/comb_iter_1/right/separable_3x3_1/separable_conv2d 1,176,7,7@0x7d7ac1afc0; 1,176,7,7@0x7d7ac1b010; 753; 755;
cell_11/comb_iter_1/right/separable_3x3_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1b010; 1,176,7,7@0x7d7ac1b060; 754; 756;
cell_11/comb_iter_1/right/separable_3x3_2/separable_conv2d 1,176,7,7@0x7d7ac1b060; 1,176,7,7@0x7d7ac1b0b0; 755; 757;
cell_11/comb_iter_1/combine/add 1,176,7,7@0x7d7ac1af20;1,176,7,7@0x7d7ac1b0b0; 1,176,7,7@0x7d7ac1b100; 751;756; 775;
cell_11/comb_iter_2/left/AvgPool2D/AvgPool 1,176,7,7@0x7d7ac1aa20; 1,176,7,7@0x7d7ac1b150; 735; 759;
cell_11/comb_iter_2/left/AvgPool2D/AvgPool___tr4cell_11/comb_iter_2/combine/add 1,176,7,7@0x7d7ac1b150; 1,176,7,7@0x7d7adfbb80; 758; 761;
cell_11/prev_bn/FusedBatchNormV3___tr4cell_11/comb_iter_2/combine/add 1,176,7,7@0x7d7ac19da0; 1,176,7,7@0x7d7adfbbd0; 689; 761;
cell_11/comb_iter_2/combine/add 1,176,7,7@0x7d7adfbb80;1,176,7,7@0x7d7adfbbd0; 1,176,7,7@0x7d7ac1b1a0; 759;760; 773;
cell_11/comb_iter_3/left/AvgPool2D/AvgPool 1,176,7,7@0x7d7ac19da0; 1,176,7,7@0x7d7ac1b1f0; 689; 764;
cell_11/comb_iter_3/right/AvgPool2D/AvgPool 1,176,7,7@0x7d7ac19da0; 1,176,7,7@0x7d7ac1b240; 689; 765;
cell_11/comb_iter_3/left/AvgPool2D/AvgPool___tr4cell_11/comb_iter_3/combine/add 1,176,7,7@0x7d7ac1b1f0; 1,176,7,7@0x7d7adfbc20; 762; 766;
cell_11/comb_iter_3/right/AvgPool2D/AvgPool___tr4cell_11/comb_iter_3/combine/add 1,176,7,7@0x7d7ac1b240; 1,176,7,7@0x7d7adfbc70; 763; 766;
cell_11/comb_iter_3/combine/add 1,176,7,7@0x7d7adfbc20;1,176,7,7@0x7d7adfbc70; 1,176,7,7@0x7d7ac1b290; 764;765; 774;
cell_11/comb_iter_4/left/Relu 1,176,7,7@0x7d7ac1aa20; 1,176,7,7@0x7d7ac1b2e0; 735; 768;
cell_11/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1b2e0; 1,176,7,7@0x7d7ac1b330; 767; 769;
cell_11/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,176,7,7@0x7d7ac1b330; 1,176,7,7@0x7d7ac1b380; 768; 770;
cell_11/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac1b380; 1,176,7,7@0x7d7ac1b3d0; 769; 771;
cell_11/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,176,7,7@0x7d7ac1b3d0; 1,176,7,7@0x7d7ac1b420; 770; 772;
cell_11/comb_iter_4/combine/add 1,176,7,7@0x7d7ac1b420;1,176,7,7@0x7d7ac1aa20; 1,176,7,7@0x7d7ac1b470; 735;771; 775;
cell_11/comb_iter_2/combine/add___tr4cell_11/cell_output/concat 1,176,7,7@0x7d7ac1b1a0; 1,176,7,7@0x7d7adfbcc0; 761; 775;
cell_11/comb_iter_3/combine/add___tr4cell_11/cell_output/concat 1,176,7,7@0x7d7ac1b290; 1,176,7,7@0x7d7adfbd10; 766; 775;
cell_11/cell_output/concat 1,176,7,7@0x7d7ac19da0;1,176,7,7@0x7d7ac1ad90;1,176,7,7@0x7d7ac1b100;1,176,7,7@0x7d7adfbcc0;1,176,7,7@0x7d7adfbd10;1,176,7,7@0x7d7ac1b470; 1,1056,7,7@0x7d7ac1b4c0; 689;746;757;772;773;774; 776;
final_layer/Relu 1,1056,7,7@0x7d7ac1b4c0; 1,1056,7,7@0x7d7ac1b510; 775; 778;
final_layer/Mean/reduction_indices none 2,0,0,0@0x7d7ac1b560; none 779;
final_layer/Relu___tr4final_layer/Mean 1,1056,7,7@0x7d7ac1b510; 1,1056,7,7@0x7d7adfbd60; 776; 779;
final_layer/Mean 1,1056,7,7@0x7d7adfbd60;2,0,0,0@0x7d7ac1b560; 1,0,1056,0@0x7d7ac1b5b0; 777;778; 781;
final_layer/FC/weights none 1056,0,1001,0@0x7d7ac1b600; none 781;
final_layer/FC/MatMul 1,0,1056,0@0x7d7ac1b5b0;1056,0,1001,0@0x7d7ac1b600; 1,0,1001,0@0x7d7ac1b650; 779;780; 783;
final_layer/FC/biases none 1001,0,0,0@0x7d7ac1b6a0; none 783;
final_layer/FC/BiasAdd 1,0,1001,0@0x7d7ac1b650;1001,0,0,0@0x7d7ac1b6a0; 1,0,1001,0@0x7d7ac1b6f0; 781;782; 784;
final_layer/predictions 1,0,1001,0@0x7d7ac1b6f0; 1,0,1001,0@0x7d7ac1b740; 783; none

