conv0/Conv2D 1,3,331,331@0x722703b810; 1,96,165,165@0x722703b860; none 1;27;32;35;66;
cell_10/comb_iter_3/left/separable_3x3_2/separable_conv2d 1,864,11,11@0x720c1fd6b0; 1,864,11,11@0x720c1fd700; 741; 744;
cell_10/comb_iter_3/right/MaxPool2D/MaxPool 1,864,11,11@0x720c1fcfd0; 1,864,11,11@0x720c1fd750; 717; 745;
cell_10/comb_iter_3/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_10/comb_iter_3/combine/add 1,864,11,11@0x720c1fd700; 1,864,11,11@0x720c3fc080; 742; 746;
cell_10/comb_iter_3/right/MaxPool2D/MaxPool___tr4cell_10/comb_iter_3/combine/add 1,864,11,11@0x720c1fd750; 1,864,11,11@0x720c3fc0d0; 743; 746;
cell_10/comb_iter_3/combine/add 1,864,11,11@0x720c3fc080;1,864,11,11@0x720c3fc0d0; 1,864,11,11@0x720c1fd7a0; 744;745; 755;
cell_10/comb_iter_4/left/Relu 1,864,11,11@0x720c1fcd00; 1,864,11,11@0x720c1fd7f0; 705; 748;
cell_10/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fd7f0; 1,864,11,11@0x720c1fd840; 747; 749;
cell_10/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,864,11,11@0x720c1fd840; 1,864,11,11@0x720c1fd890; 748; 750;
cell_10/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fd890; 1,864,11,11@0x720c1fd8e0; 749; 751;
cell_10/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,864,11,11@0x720c1fd8e0; 1,864,11,11@0x720c1fd930; 750; 752;
cell_10/comb_iter_4/combine/add 1,864,11,11@0x720c1fd930;1,864,11,11@0x720c1fcfd0; 1,864,11,11@0x720c1fd980; 717;751; 754;
cell_10/comb_iter_2/combine/add___tr4cell_10/cell_output/concat 1,864,11,11@0x720c1fd570; 1,864,11,11@0x720c3fc120; 737; 755;
cell_10/comb_iter_4/combine/add___tr4cell_10/cell_output/concat 1,864,11,11@0x720c1fd980; 1,864,11,11@0x720c3fc170; 752; 755;
cell_10/cell_output/concat 1,864,11,11@0x720c1fcf30;1,864,11,11@0x720c1fd200;1,864,11,11@0x720c3fc120;1,864,11,11@0x720c1fd7a0;1,864,11,11@0x720c3fc170; 1,4320,11,11@0x720c1fd9d0; 714;726;746;753;754; 756;
cell_11/Relu_1 1,4320,11,11@0x720c1fd9d0; 1,4320,11,11@0x720c1fda20; 755; 757;
cell_11/Relu_1___tr4cell_11/1x1/Conv2D 1,4320,11,11@0x720c1fda20; 1,4320,11,11@0x720c3fc1c0; 756; 758;
cell_11/1x1/Conv2D 1,4320,11,11@0x720c3fc1c0; 1,864,11,11@0x720c1fda70; 757; 759;764;768;773;784;793;
cell_11/comb_iter_1/left/Relu 1,864,11,11@0x720c1fda70; 1,864,11,11@0x720c1fdac0; 758; 760;
cell_11/comb_iter_1/left/separable_7x7_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fdac0; 1,864,11,11@0x720c1fdb10; 759; 761;
cell_11/comb_iter_1/left/separable_7x7_1/separable_conv2d 1,864,11,11@0x720c1fdb10; 1,864,11,11@0x720c1fdb60; 760; 762;
cell_11/comb_iter_1/left/separable_7x7_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fdb60; 1,864,11,11@0x720c1fdbb0; 761; 763;
cell_11/comb_iter_1/left/separable_7x7_2/separable_conv2d 1,864,11,11@0x720c1fdbb0; 1,864,11,11@0x720c1fdc00; 762; 765;
cell_11/comb_iter_1/right/MaxPool2D/MaxPool 1,864,11,11@0x720c1fda70; 1,864,11,11@0x720c1fdc50; 758; 766;
cell_11/comb_iter_1/left/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_11/comb_iter_1/combine/add 1,864,11,11@0x720c1fdc00; 1,864,11,11@0x720c3fc210; 763; 767;
cell_11/comb_iter_1/right/MaxPool2D/MaxPool___tr4cell_11/comb_iter_1/combine/add 1,864,11,11@0x720c1fdc50; 1,864,11,11@0x720c3fc260; 764; 767;
cell_11/comb_iter_1/combine/add 1,864,11,11@0x720c3fc210;1,864,11,11@0x720c3fc260; 1,864,11,11@0x720c1fdca0; 765;766; 796;
cell_11/comb_iter_2/left/Relu 1,864,11,11@0x720c1fda70; 1,864,11,11@0x720c1fdcf0; 758; 769;
cell_11/comb_iter_2/left/separable_5x5_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fdcf0; 1,864,11,11@0x720c1fdd40; 768; 770;
cell_11/comb_iter_2/left/separable_5x5_1/separable_conv2d 1,864,11,11@0x720c1fdd40; 1,864,11,11@0x720c1fdd90; 769; 771;
cell_11/comb_iter_2/left/separable_5x5_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fdd90; 1,864,11,11@0x720c1fdde0; 770; 772;
cell_11/comb_iter_2/left/separable_5x5_2/separable_conv2d 1,864,11,11@0x720c1fdde0; 1,864,11,11@0x720c1fde30; 771; 778;
cell_11/comb_iter_2/right/Relu 1,864,11,11@0x720c1fda70; 1,864,11,11@0x720c1fde80; 758; 774;
cell_11/comb_iter_2/right/separable_3x3_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fde80; 1,864,11,11@0x720c1fded0; 773; 775;
cell_11/comb_iter_2/right/separable_3x3_1/separable_conv2d 1,864,11,11@0x720c1fded0; 1,864,11,11@0x720c1fdf20; 774; 776;
cell_11/comb_iter_2/right/separable_3x3_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fdf20; 1,864,11,11@0x720c1fdf70; 775; 777;
cell_11/comb_iter_2/right/separable_3x3_2/separable_conv2d 1,864,11,11@0x720c1fdf70; 1,864,11,11@0x720c1fdfc0; 776; 778;
cell_11/comb_iter_2/combine/add 1,864,11,11@0x720c1fde30;1,864,11,11@0x720c1fdfc0; 1,864,11,11@0x720c1fe010; 772;777; 779;794;
cell_11/comb_iter_3/left/Relu 1,864,11,11@0x720c1fe010; 1,864,11,11@0x720c1fe060; 778; 780;
cell_11/comb_iter_3/left/separable_3x3_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fe060; 1,864,11,11@0x720c1fe0b0; 779; 781;
cell_11/comb_iter_3/left/separable_3x3_1/separable_conv2d 1,864,11,11@0x720c1fe0b0; 1,864,11,11@0x720c1fe100; 780; 782;
cell_11/comb_iter_3/left/separable_3x3_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fe100; 1,864,11,11@0x720c1fe150; 781; 783;
cell_11/comb_iter_3/left/separable_3x3_2/separable_conv2d 1,864,11,11@0x720c1fe150; 1,864,11,11@0x720c1fe1a0; 782; 785;
cell_11/comb_iter_3/right/MaxPool2D/MaxPool 1,864,11,11@0x720c1fda70; 1,864,11,11@0x720c1fe1f0; 758; 786;
cell_11/comb_iter_3/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_11/comb_iter_3/combine/add 1,864,11,11@0x720c1fe1a0; 1,864,11,11@0x720c3fc2b0; 783; 787;
cell_11/comb_iter_3/right/MaxPool2D/MaxPool___tr4cell_11/comb_iter_3/combine/add 1,864,11,11@0x720c1fe1f0; 1,864,11,11@0x720c3fc300; 784; 787;
cell_11/comb_iter_3/combine/add 1,864,11,11@0x720c3fc2b0;1,864,11,11@0x720c3fc300; 1,864,11,11@0x720c1fe240; 785;786; 796;
cell_11/comb_iter_4/left/Relu 1,864,11,11@0x720c1fca30; 1,864,11,11@0x720c1fe290; 693; 789;
cell_11/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fe290; 1,864,11,11@0x720c1fe2e0; 788; 790;
cell_11/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,864,11,11@0x720c1fe2e0; 1,864,11,11@0x720c1fe330; 789; 791;
cell_11/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fe330; 1,864,11,11@0x720c1fe380; 790; 792;
cell_11/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,864,11,11@0x720c1fe380; 1,864,11,11@0x720c1fe3d0; 791; 793;
cell_11/comb_iter_4/combine/add 1,864,11,11@0x720c1fe3d0;1,864,11,11@0x720c1fda70; 1,864,11,11@0x720c1fe420; 758;792; 795;
cell_11/comb_iter_2/combine/add___tr4cell_11/cell_output/concat 1,864,11,11@0x720c1fe010; 1,864,11,11@0x720c3fc350; 778; 796;
cell_11/comb_iter_4/combine/add___tr4cell_11/cell_output/concat 1,864,11,11@0x720c1fe420; 1,864,11,11@0x720c3fc3a0; 793; 796;
cell_11/cell_output/concat 1,864,11,11@0x720c1fcc60;1,864,11,11@0x720c1fdca0;1,864,11,11@0x720c3fc350;1,864,11,11@0x720c1fe240;1,864,11,11@0x720c3fc3a0; 1,4320,11,11@0x720c1fe470; 702;767;787;794;795; 797;
final_layer/Relu 1,4320,11,11@0x720c1fe470; 1,4320,11,11@0x720c1fe4c0; 796; 799;
final_layer/Mean/reduction_indices none 2,0,0,0@0x720c1fe510; none 799;
final_layer/Mean 1,4320,11,11@0x720c1fe4c0;2,0,0,0@0x720c1fe510; 1,0,4320,0@0x720c1fe560; 797;798; 801;
final_layer/FC/weights none 4320,0,1001,0@0x720c1fe5b0; none 801;
final_layer/FC/MatMul 1,0,4320,0@0x720c1fe560;4320,0,1001,0@0x720c1fe5b0; 1,0,1001,0@0x720c1fe600; 799;800; 803;
final_layer/FC/biases none 1001,0,0,0@0x720c1fe650; none 803;
final_layer/FC/BiasAdd 1,0,1001,0@0x720c1fe600;1001,0,0,0@0x720c1fe650; 1,0,1001,0@0x720c1fe6a0; 801;802; 804;
final_layer/predictions 1,0,1001,0@0x720c1fe6a0; 1,0,1001,0@0x720c1fe6f0; 803; none
